#DICT: <accent> <kana> <kanji[?]> <romaji<?>> <chinese>
3 コーヒー                           咖啡
2 のみもの        [飲み物]           饮料
1 あせ            [汗]               汗
1 かく            [掻く]             <他动1>出汗，流汗
? あせをかく      [汗を掻く]         出汗
0 おなか                             肚子
1 ちょっと                           一会儿；稍微，有点
0 すく            [空く]             <自动1>空，饿
? おなかがすく    [おなかが空く]     肚子饿
2 むこう          [向こう]           对面；另一侧；前面；对方
0 きっさてん      [喫茶店]           茶馆，咖啡馆
0 おすすめ        [お薦め]           推荐(比较客气的说法)
0 じかせい        [自家製]           自己制作，本店制作
3 ヨーグルト                         酸奶，酸乳酪
4 ございます                         (敬语)有，在
1 コーラ                             可乐
4 アイスティー                       冰红茶
3 ゆっくり                           <副/自动3>慢慢；舒适

1 テニス                             网球
0 やきゅう        [野球]             棒球
2 とくい          [得意]             <名/形2>擅长，拿手
2 いやあ                             哦，不
2 すごい          [凄い]             <形1>非常好的，了不起
0 いちばん        [一番]             最，第一
0 にんき          [人気]             声望，人缘
? にんきがある    [人気がある]       受欢迎，有人缘
2 やはり                             仍然，还是
0 たっきゅう      [卓球]             乒乓球
4 バレーボール                       排球
0 ピアノ                             钢琴
2 しかし                             然而，但是
0 このごろ        [この頃]           (~ごろ)近来，最近
1 めったに                           (后接否定)很少，几乎没有
0 ひく            [弾く]             <他动1>弹，拉
? ピアノをひく    [ピアノを弾く]     弹钢琴
3 ちいさい        [小さい]           <形1>小，幼小
2 ならう          [習う]             <他动1>学习，练习
0 ずっと                             一直，始终
1 チャンス                           机会，机遇
0 ことわざ        [諺]               谚语
3 まにあう        [間に合う]         <自动1>(时间)赶得上，来得急
0 いっしょに      [一緒に]           一同，一起
2 もちろん        [勿論]             不用说，当然

0 おそい          [遅い]             <形1>晚，迟
0 もんだい        [問題]             问题
1 うそ                               谎话
? うそをいう      [うそを言う]       说谎
2 うた            [歌]               歌，歌曲
3 むらかみはるき  [村上春樹]         (人名)村上春树
0 しょうせつ      [小説]             小说
2 わかい          [若い]             <形1>年轻
2 デザート                           甜点
1 ティー                             茶
0 こうちゃ        [紅茶]             红茶
3 やまのぼり      [山登り]           登山
3 にがて          [苦手]             <形2>不擅长
1 ホット                             热咖啡
1 アイス                             冰咖啡

? おりょうりのほうをたくさんたべてください [お料理のほうをたくさん食べてください] 请多吃点菜
? いまからでもおそくないので，〜  [いまからでも遅くないので，〜]  (因为)即使从现在开始也不迟,~
? あしたはあめでもいきますよ [明日は雨でも行きますよ] <ashitawaamedemoikimasuyo> 即使明天有雨也去啊
? ともだちといっしょにかいものにいきました [友達と一緒に買い物に行きました] 和朋友一起去买东西
? 〜といっています  [〜と言っています]  ~说过~
? 〜といいます      [〜と言います]      (我)叫做~
? 〜てもいいですか                    可以~吗?
? 〜なくてもいいですか                可以不~吗?
? かしこまりました                    (谦语)我知道了
? おまたせいたしました [お待たせいたしました]  让您久等了
? ごゆっくりどうぞ                             请慢慢用餐
? もちろんいいですよ                           当然可以啊
? いまからでもまにあいますよ  [いまからでも間に合いますよ] 现在也来得及啊
? すきこそもののじょうずなれ  [好きこそものの上手なれ]  好者技精
? このごろはめったにひきません [この頃はめったに弾きません] <konogorowamettanihikimasen> 最近很少弹(钢琴)了
? ひとりでいきたくないです [一人で行きたくないです] 不想一个人去
? うみよりやまのほうにいきたいです [海より山のほうに行きたいです] 比起去海边，更想去山上玩
? ともだちににほんごでてがみをかく [友達に日本語で手紙を書く] 用日语给朋友写信
