#DICT: <accent> <kana> <kanji[?]> <romaji<?>> <chinese>
3 はなし            [話]         话题；话语；故事
0 にほんしょく      [日本食]     日本饭菜
1 ダイエット                     <名/自动3>减肥，节食
4 がいこくじん      [外国人]     外国人
0 てんぷら          [天ぷら]     天麸罗
3 なっとう          [納豆]       纳豆
2 おでん                         杂烩菜
1 レストラン                     西式餐厅
0 そういう                       那样的
1 どうしても                     无论如何也；怎么也
2 いや                           <形2>讨厌
0 えいよう          [栄養]       营养，养分
0 そして                         (~て)然后，于是
0 アメリカ                       美国
0 りゅうこう        [流行]       <名/自动3>流行，时兴
4 チーズケーキ                   奶酪蛋糕
0 かわり            [代わり]     代，替，代替
3 とうふ            [豆腐]       豆腐
1 ジャム                         果酱
? ジャムをかける                 浇上果酱
0 やせる            [痩せる]     <自动2>瘦
3 よろこぶ          [喜ぶ]       <自动1>高兴，欢喜，喜悦
0 ほんとう          [本当]       <名/形2>真，真的
0 むかし            [昔]         以前，往昔
0 ようふく          [洋服]       西装
0 きる              [着る]       <他动2>穿，着
3 あっさり                       <副/自动3>(口味)清淡；素净


0 ほんば            [本場]       发源地，本地
0 ゆうしょく        [夕食]       晚饭，晚餐(~く)
0 かんたん          [簡単]       <形2>简单，容易
2 にく              [肉]         肉
3 パイグー                       排骨
2 うまい                         <形1>好吃，可口；高明，棒
0 ジャガイモ                     土豆
1 す                [酢]         醋
3 いためる          [炒める]     <他动2>炒，煎
2 すいため          [酢炒め]     醋熘
? シャオチエズ                   烧茄子
5 チンジャオロース               青椒肉丝
0 つもり                         打算，意图
1 はんてん          [飯店]       饭店
1 あみ              [亜美]       (人名)亚美
1 なんでも          [何でも]     不管什么，什么都
0 せきにん          [責任]       责任
0 じゅうだい        [重大]       <名/形2>重大，重要


2 スキー                         滑雪
0 じじょう          [事情]       情形，状况；理由
0 りゆう            [理由]       理由；借口
2 さとう            [砂糖]       糖，砂糖
3 おうべいじん      [欧米人]     欧美人
1 みどり            [緑]         绿色；(树木等)嫩芽，新芽
1 ずいぶん          [随分]       很，非常
4 だいがくいん      [大学院]     研究生院
1 りょうしん        [両親]       父母，双亲
0 がいらいご        [外来語]     外来语
3 おぼえる          [覚える]     <他动2>记住；学会
3 かんがえ          [考え]       思想，想法
0 さいふ            [財布]       钱包
5 アイスクリーム                 冰激凌
0 かいしゃ          [会社]       公司
0 さかん            [盛ん]       <形2>盛行，兴盛，繁荣
0 はんとし          [半年]       半年

? 〜けれど                       因为所以，虽然但是
? このはつおんはどうしてもできない  [この発音はどうしてもできない]  <konohatsuonwadoushitemodekinai> 这个发音无论如何也不会
? たなかさんのかわりにわたしがやります  [田中さんの代わりにわたしがやります] 我代替田中君
? 〜とはいえません  [とは言えません] <~towaiemasen>  不能说~，谈不上~
? ことしはだんとうだとはいえません  [今年は暖冬だとは言えません] <kotoshiwadantoudatowaiemasen> 今年算不上暖冬

? くるまのうんてんをならうつもりです [車の運転を習うつもりです]  打算学车
? ちょっとまってください    [ちょっと待ってください]  请稍等一下

? 〜ようになりました  变成~，变得~
? おさけはずいぶんのめるようになりました [お酒は随分飲めるようになりました] <osakewazuibunnomeruyouninarimashita> 变得很能喝酒
