ほんぶん         [本文]          正文，课文
かいわ           [会話]          会话
ま               [馬]            (姓)马
せんせい         [先生]          老师，先生
みなさん         [皆さん]        大家，各位
がくせい         [学生]          学生
こちら                           这位，这边
さん                             小~，老~，~先生，~女士
ちゅうごく       [中国]          中国
かた             [方]            (敬语)位，人
トム             [Tom]           (人名)汤姆
アメリカじん                     [America人] 
しゅっしん       [出身]          出生地；籍贯
ここ             [此処]          这里
そこ             [其処]          那里
あそこ           [彼処]          那里
どこ             [何処]          哪里
これ             [此れ]          这，这个
それ             [其れ]          那，那个(离彼方近)
あれ                             那，那个(离彼方远)
どれ             [何れ]          哪，哪个
ペキン           [北京]          北京
マリー           [Mary]          (人名)玛丽
インドじん       [印度人]        印度人
わたし           [私]            我
しゅみ           [趣味]          兴趣，爱好
カラオケ                         卡拉OK
なん             [何]            什么
あ                               (表吃惊或回忆起什么)呀，哎呀
せき             [席]            座位，座席
きむら           [木村]          (姓)木村
かぞく           [家族]          家属，家人
しゃしん         [写真]          照片，相片
はい                             (用于肯定回答) 是，是的
こう                             这样的，这么
そう                             那样的，那么
どう                             哪样的
よにんかぞく     [四人家族]      四口之家
さんにんかぞく   [三人家族]      三口之家
ちち             [父]            (我)爸爸
はは             [母]            (我)妈妈
いしゃ           [医者]          大夫，医生
こうこう         [高校]          高中
きょうし         [教師]          教师
ぼく             [僕]            (男子在同辈或晚辈前自称)我
かいしゃいん     [会社員]        公司职员
しゅふ           [主婦]          家庭妇女
いもうと         [妹]            妹妹
だいがくせい     [大学生]        大学生
いいえ                           (否定回答)不，不是 
にねんせい       [二年生]        二年级学生
じゃあ                           那么
この                             这，这个
いぬ             [犬]            汪星人
ねこ             [猫]            喵星人
ああ                             啊，呀
じだい           [時代]          时代，时期
こいびと         [恋人]          恋人
おとうさん       [お父さん]      您父亲，爸爸
おかあさん       [お母さん]      您母亲，妈妈
おにいさん       [お兄さん]      您哥哥，哥哥
おねえさん       [お姉さん]      您姐姐，姐姐
おとうとさん     [弟さん]        弟弟
あに             [兄]            (我)哥哥 
あね             [姉]            (我)姐姐
おとうと         [弟]            (我)弟弟 
しんぶん         [新聞]          报纸
ぼん             [本]            书
カメラ           [camera]        相机
すずき           [鈴木]          (姓)铃木
いのうえ         [井上]          (姓)井上
ちず             [地図]          地图
ちゅうごくじん   [中国人]        中国人
クラスメート     [classmate]     同班同学
です　　　　　　　　　　　　　　 现在式，肯定
でした                           过去式，否定
ではありません                   现在式，肯定
ではありませした                 过去式，否定
