#DICT: <accent> <kana> <kanji[?]> <romaji<?>> <chinese>
? いっさい   [一才]          一岁
? にさい     [二才]          两岁
? さんさい   [三才]          三岁
? よんさい   [四才]          四岁
? ごさい     [五才]          五岁
? ろくさい   [六才]          六岁
? ななさい   [七才]          七岁
? はっさい   [八才]          八岁
? きゅうさい [九才]          九岁
? じっさい   [十才]          十岁
? じゅういっさい [十一才]    十一岁
? じゅうにさい   [十二才]    十二岁
? はたち         [二十才]    二十岁
? さんじっさい   [三十才]    三十岁
? よんじっさい   [四十才]    四十岁
? いくつ     [幾つ]          几岁(一般问10岁以下用到)
? なんさい   [何才]          多少岁


? にじっさい     [二十才]    二十岁(optional)
? にじゅっさい   [二十才]    二十岁(optional,longer)
? さんじゅっさい [三十才]    三十岁(optional)
? よんじゅっさい [四十才]    四十岁(optional)

? いっしゅうかん  [一週間]   一周
? にしゅうかん    [二週間]   两周
? さんしゅうかん  [三週間]   三周
? よんしゅうかん  [四週間]   四周
? ごしゅうかん    [五週間]   五周
? なんしゅうかん  [何週間]   几周

? ついたち        [一日]     一号
? ふつか          [二日]     二号
? みっか          [三日]     三号
? よっか          [四日]     四号
? いつか          [五日]     五号
? むいか          [六日]     六号
? なのか          [七日]     七号
? ようか          [八日]     八号
? ここのか        [九日]     九号
? とおか          [十日]     十号

? じゅういちにち  [十一日]   十一号
? じゅうににち    [十二日]   十二号
? じゅうさんにち  [十三日]   十三号
? じゅうよっか    [十四日]   十四号
? じゅうごにち    [十五日]   十五号
? じゅうろくにち  [十六日]   十六号
? じゅうしちにち  [十七日]   十七号
? じゅうはちにち  [十八日]   十八号 
? じゅうくにち    [十九日]   十九号
? はつか          [二十日]   二十号
? にじゅういちにち  [二十一日]  二十一号
? にじゅうににち    [二十二日]  二十二号
? にじゅうさんにち  [二十三日]  二十三号
? にじゅうよっか    [二十四日]  二十四号
? にじゅうごにち    [二十五日]  二十五号

? なんにち        [何日]     几号
? なぬか          [七日]     七号(optional)
