#DICT: <accent> <kana> <kanji[?]> <romaji<?>> <chinese>
? いっかい   [一回]          一次
? にかい     [二回]          二次
? さんかい   [三回]          三次
? よんかい   [四回]          四次
? ごかい     [五回]          五次
? ろっかい   [六回]          六次
? ななかい   [七回]          七次
? はっかい   [八回]          八次
? きゅうかい [九回]          九次
? じっかい   [十回]          十次
? じゅういっかい   [十一回]   十一次
? にじゅうよんかい [二十四回] 二十四次
? ひゃっかい [百回]          一百次
? なんかい   [何回]          几次

? はちかい   [八回]          八次(optional)
? じゅっかい [十回]          十次(optional)
? ひゃくかい [百回]          一百次(optional)

? いちがつ   [一月]          一月份
? にがつ     [二月]          二月份
? さんがつ   [三月]          三月份
? しがつ     [四月]          四月份
? ごがつ     [五月]          五月份
? ろくがつ   [六月]          六月份
? しちがつ   [七月]          七月份
? はちがつ   [八月]          八月份
? くがつ     [九月]          九月份
? じゅうがつ [十月]          十月份
? じゅういちがつ   [十一月]  十一月份
? じゅうにがつ     [十二月]  十二月份
? なんがつ   [何月]          几月份

? いっかげつ   [一か月]     一个月
? にかげつ     [二か月]     二个月
? さんかげつ   [三か月]     三个月
? よんかげつ   [四か月]     四个月
? ごかげつ     [五か月]     五个月
? ろっかげつ   [六か月]     六个月
? ななかげつ   [七か月]     七个月
? はっかげつ   [八か月]     八个月
? きゅうかげつ [九か月]     九个月
? じっかげつ   [十か月]     十个月
? じゅういっかげつ  [十一か月]  十一个月
? なんかげつ   [何か月]      几个月


? はちかげつ   [八か月]      八个月(optional)
? じゅっかげつ [十か月]      十个月(optional)
