#DICT: <accent> <kana> <kanji[?]> <romaji<?>> <chinese>
? いっかい   [一階]          一楼
? にかい     [二階]          二楼
? さんがい   [三階]          三楼
? よんかい   [四階]          四楼
? ごかい     [五階]          五楼
? ろっかい   [六階]          六楼
? ななかい   [七階]          七楼
? はっかい   [八階]          八楼
? きゅうかい [九階]          九楼
? じっがい   [十階]          十楼
? じゅういっかい  [十一階]   十一楼
? じゅうにかい    [十二階]   十二楼
? じゅうさんがい  [十三階]   十三楼
? じゅうよんかい  [十四階]   十四楼
? なんかい   [何階]          几楼


? はちかい   [八階]          八楼(optional)
? じゅっがい [十階]          十楼(optional)

? げつようび [月曜日]        周一
? かようび   [火曜日]        周二
? すいようび [水曜日]        周三
? もくようび [木曜日]        周四
? きんようび [金曜日]        周五
? どようび   [土曜日]        周六
? にちようび [日曜日]        周日
? なんようび [何曜日]        星期几

? いちじ      [一時]         一点钟
? にじ        [二時]         两点钟
? さんじ      [三時]         三点钟
? よじ        [四時]         四点钟
? ごじ        [五時]         五点钟
? ろくじ      [六時]         六点钟
? しちじ      [七時]         七点钟
? はちじ      [八時]         八点钟
? くじ        [九時]         九点钟
? じゅうじ      [十時]       十点钟
? じゅういちじ  [十一時]     十一点钟
? じゅうにじ    [十二時]     十二点钟
? なんじ      [何時]         几点

? いちじかん  [一時間]       一小时
? にじかん    [二時間]       两小时
? さんじかん  [三時間]       三小时
? よじかん    [四時間]       四小时
? ごじかん    [五時間]       五小时
? ろくじかん  [六時間]       六小时
? しちじかん  [七時間]       七小时
? はちじかん  [八時間]       八小时
? くじかん    [九時間]       九小时
? じゅうじかん      [十時間] 十小时
? じゅういちじかん  [十一時間] 十一小时
? じゅうにじかん    [十二時間] 十二小时
? なんじかん    [何時間]       几小时

? いっぷん    [一分]         一分钟
? にふん      [二分]         两分钟
? さんぷん    [三分]         三分钟
? よんぷん    [四分]         四分钟
? ごふん      [五分]         五分钟
? ろっぷん    [六分]         六分钟
? ななふん    [七分]         七分钟
? はっぷん    [八分]         八分钟
? きゅうふん  [九分]         九分钟
? じっぷん    [十分]         十分钟
? じゅういっぷん  [十一分]   十一分钟
? じゅうにふん    [十二分]   十二分钟
? じゅうごふん    [十五分]   十五分钟
? にじっぷん      [二十分]   二十分钟
? なんぷん    [何分]         几分钟

? はちふん     [八分]        八分钟(optional)
? じゅっぷん   [十分]        十分钟(optional)
? にじゅっぷん [二十分]      二十分钟(optional)
