#DICT: <accent> <kana> <kanji[?]> <romaji<?>> <chinese>
? あつい                 [暑い]               暑い:连体形
? あつく                 [暑く]               暑い:第一连用形,表中顿
? あつくて               [暑くて]             暑い:第二连用形,表并列/弱原因
? あついです             [暑いです]           暑い:终止形,敬体非过去式,肯定
? あつくないです         [暑くないです]       暑い:终止形,敬体非过去式,否定
? あつかったです         [暑かったです]       暑い:终止形,敬体过去式,肯定
? あつくなかったです     [暑くなかったです]   暑い:终止形,敬体过去式,否定
? あつくありません       [暑くありません]       暑い:终止形,敬体非过去式,否定(optional)
? あつくありませんでした [暑くありませんでした] 暑い:终止形,敬体过去式,否定(optional)

? さむいです             [寒いです]           寒い:终止形,敬体非过去式,肯定
? さむくないです         [寒くないです]       寒い:终止形,敬体非过去式,否定
? さむかったです         [寒かったです]       寒い:终止形,敬体过去式,肯定
? さむくなかったです     [寒くなかったです]   寒い:终止形,敬体过去式,否定
? さむくありません       [寒くありません]       寒い:终止形,敬体非过去式,否定(optional)
? さむくありませんでした [寒くありませんでした] 寒い:终止形,敬体过去式,否定(optional)

? すずしい               [涼しい]             涼しい:连体形
? すずしく               [涼しく]             涼しい:第一连用形,表中顿
? すずしくて             [涼しくて]           涼しい:第二连用形,表并列/弱原因
? すずしいです           [涼しいです]         涼しい:终止形,敬体非过去式,肯定
? すずしくないです       [涼しくないです]     涼しい:终止形,敬体非过去式,否定
? すずしかったです       [涼しかったです]     涼しい:终止形,敬体过去式,肯定
? すずしくなかったです   [涼しくなかったです] 涼しい:终止形,敬体过去式,否定
? すずしくありません       [涼しくありません]       涼しい:终止形,敬体非过去式,否定(optional)
? すずしくありませんでした [涼しくありませんでした] 涼しい:终止形,敬体过去式,否定(optional)

? いいです                                    いい:终止形,敬体非过去式,肯定
? よくないです                                いい:终止形,敬体非过去式,否定
? よかったです                                いい:终止形,敬体过去式,肯定
? よくなかったです                            いい:终止形,敬体过去式,否定
? よくありません                              いい:终止形,敬体非过去式,否定(optional)
? よくありませんでした                        いい:终止形,敬体过去式,否定(optional)

? むずかしいです         [難しいです]         難しい:终止形,敬体非过去式,肯定
? むずかしくないです     [難しくないです]     難しい:终止形,敬体非过去式,否定
? むずかしかったです     [難しかったです]     難しい:终止形,敬体过去式,肯定
? むずかしくなかったです [難しくなかったです] 難しい:终止形,敬体过去式,否定
? むずかしくありません       [難しくありません]       難しい:终止形,敬体非过去式,否定(optional)
? むずかしくありませんでした [難しくありませんでした] 難しい:终止形,敬体过去式,否定(optional)

? あたたかいです         [暖かいです]         暖かい:终止形,敬体非过去式,肯定
? あたたかくないです     [暖かくないです]     暖かい:终止形,敬体非过去式,否定
? あたたかかったです     [暖かかったです]     暖かい:终止形,敬体过去式,肯定
? あたたかくなかったです [暖かくなかったです] 暖かい:终止形,敬体过去式,否定
? あたたかくありません       [暖かくありません]       暖かい:终止形,敬体非过去式,否定(optional)
? あたたかくありませんでした [暖かくありませんでした] 暖かい:终止形,敬体过去式,否定(optional)

? たかいです             [高いです]           高い:终止形,敬体非过去式,肯定
? たかくないです         [高くないです]       高い:终止形,敬体非过去式,否定
? たかかったです         [高かったです]       高い:终止形,敬体过去式,肯定
? たかくなかったです     [高くなかったです]   高い:终止形,敬体过去式,否定
? たかくありません       [高くありません]       高い:终止形,敬体非过去式,否定(optional)
? たかくありませんでした [高くありませんでした] 高い:终止形,敬体过去式,否定(optional)

? すきな                 [好きな]             好き:连体形
? すきに                 [好きに]             好き:第一连用形,修饰用言
? すきで                 [好きで]             好き:第二连用形,表并列/中顿
? すきです               [好きです]                            好き:终止形,敬体非过去式,肯定
? すきではないです       [好きではないです]  <sukidewanaidesu> 好き:终止形,敬体非过去式,否定
? すきでした             [好きでした]                                 好き:终止形,敬体过去式,肯定
? すきではなかったです   [好きではなかったです] <sukidewanakattadesu> 好き:终止形,敬体过去式,否定
? すきではありません       [好きではありません]       <sukidewaarimasen>        好き:终止形,敬体非过去式,否定(optional)
? すきではありませんでした [好きではありませんでした] <sukidewaarimasendeshita> 好き:终止形,敬体过去式,否定(optional)

? きらいな               [嫌いな]               嫌い:连体形
? きらいに               [嫌いに]               嫌い:第一连用形,修饰用言
? きらいで               [嫌いで]               嫌い:第二连用形,表并列/中顿
? きらいです             [嫌いです]                            嫌い:终止形,敬体非过去式,肯定
? きらいではないです     [嫌いではないです] <kiraidewanaidesu> 嫌い:终止形,敬体非过去式,否定
? きらいでした           [嫌いでした]                                  嫌い:终止形,敬体过去式,肯定
? きらいではなかったです [嫌いではなかったです] <kiraidewanakattadesu> 嫌い:终止形,敬体过去式,否定
? きらいではありません       [嫌いではありません]       <kiraidewaarimasen>        嫌い:终止形,敬体非过去式,否定(optional)
? きらいではありませんでした [嫌いではありませんでした] <kiraidewaarimasendeshita> 嫌い:终止形,敬体过去式,否定(optional)

? ゆうめいです             [有名です]                             有名:终止形,敬体非过去式,肯定
? ゆうめいではないです     [有名ではないです] <yuumeidewanaidesu> 有名:终止形,敬体非过去式,否定
? ゆうめいでした           [有名でした]                                   有名:终止形,敬体过去式,肯定
? ゆうめいではなかったです [有名ではなかったです] <yuumeidewanakattadesu> 有名:终止形,敬体过去式,否定
? ゆうめいではありません       [有名ではありません]       <yuumeidewaarimasen>        有名:终止形,敬体非过去式,否定(optional)
? ゆうめいではありませんでした [有名ではありませんでした] <yuumeidewaarimasendeshita> 有名:终止形,敬体过去式,否定(optional)
