#DICT: <accent> <kana> <kanji[?]> <romaji<?>> <chinese>
? 〜ます             动词敬体非过去时，肯定
? 〜ません           动词敬体非过去时，否定
? 〜ました           动词敬体过去时，肯定
? 〜ませんでした     动词敬体过去时，否定

0 しる             [知る]            <他动1>知道
1 かえる           [帰る]            <自动1>回，回家
? はいる           [入る]            <自动1>进入，没入

2 わかる           [分かる]          <自动1>知道，理解
0 はじまる         [始まる]          <自动1>开始
1 とる             [撮る]            <他动1>摄影，照相
1 とる             [取る]            <他动1>吃(饭)
0 おわる           [終わる]          <自动1>结束
1 なる             [成る]            <自动1>变成，成为
3 あつまる         [集まる]          <自动1>聚集，集中
1 ふる             [降る]            <自动1>降，下(雨、雪)
0 つかる           [浸かる]          <自动1>洗澡，泡澡
0 やる                               <他动1>做，干
2 つくる           [作る]            <他动1>做，制作，弄
0 まわる           [回る]            <自动1>转，绕着转
2 もどる           [戻る]            <自动1>返回
0 のる             [乗る]            <自动1>乘坐，搭乘
2 おこる           [怒る]            <自他动1>发怒，恼怒，生气
0 かう             [買う]            <他动1>买
0 もらう                             <他动1>得到；领取；领受
0 つかう           [使う]            <他动1>用，使用
2 そろう           [揃う]            <自动1>齐全；到齐
2 ならう           [習う]            <他动1>学
0 ちがう           [違う]            <自动1>不同
0 うたう           [歌う]            <他动1>唱，唱歌
2 おもう           [思う]            <他动1>认为，以为，觉得
0 いう             [言う]            <他动1>称，叫作；说，讲
0 いく             [行く]            <自动1>去，走
0 きく             [聞く]            <他动1>询问；听
1 かく             [書く]            <他动1>写，书写
0 おく             [置く]            <他动1>放，放置
1 かく             [描く]            <他动1>画画儿
2 はなす           [話す]            <他动1>说，讲
2 ながす           [流す]            <他动1>洗掉(污垢)，放掉(水)
1 まつ             [待つ]            <他动1>等，等待
1 もつ             [持つ]            <他动1>拿
0 しぬ             [死ぬ]            <自动1>死，死亡
1 よむ             [読む]            <他动1>读
2 やすむ           [休む]            <自动1>休息
1 すむ             [住む]            <自动1>居住
1 あむ             [編む]            <他动1>编织
1 のむ             [飲む]            <他动1>喝，吃
1 ぬぐ             [脱ぐ]            <他动1>脱，脱掉
2 いそぐ           [急ぐ]            <自动1>赶快，急
2 あそぶ           [遊ぶ]            <自动1>玩
2 えらぶ           [選ぶ]            <他动1>挑选，选择
0 よぶ             [呼ぶ]            <他动1>叫


? しります         [知ります]        知る:终止形,敬体非过去时，肯定
? かえります       [帰ります]        帰る:终止形,敬体非过去时，肯定
? はいります       [入ります]        入る:终止形,敬体非过去时，肯定

? わかります       [分かります]      分かる:终止形,敬体非过去时，肯定
? はじまります     [始まります]      始まる:终止形,敬体非过去时，肯定
? とります         [撮ります]        撮る:(摄影)终止形,敬体非过去时，肯定
? とります         [取ります]        取る:(吃饭)终止形,敬体非过去时，肯定
? おわります       [終わります]      終わる:终止形,敬体非过去时，肯定
? なります         [成ります]        成る:终止形,敬体非过去时，肯定
? あつまります     [集まります]      集まる:终止形,敬体非过去时，肯定
? ふります         [降ります]        降る:终止形,敬体非过去时，肯定
? つかります       [浸かります]      浸かる:终止形,敬体非过去时，肯定
? やります                           やる:终止形,敬体非过去时，肯定
? つくります       [作ります]        つくる:终止形,敬体非过去时，肯定
? まわります       [回ります]        回る:终止形,敬体非过去时，肯定
? もどります       [戻ります]        戻る:终止形,敬体非过去时，肯定
? のります         [乗ります]        乗る:终止形,敬体非过去时，肯定
? おこります       [怒ります]        怒る:终止形,敬体非过去时，肯定
? かいます         [買います]        買う:终止形,敬体非过去时，肯定
? もらいます                         もらう:终止形,敬体非过去时，肯定
? つかいます       [使います]        使う:终止形,敬体非过去时，肯定
? そろいます       [揃います]        揃う:终止形,敬体非过去时，肯定
? ならいます       [習います]        習う:终止形,敬体非过去时，肯定
? ちがいます       [違います]        違う:终止形,敬体非过去时，肯定
? うたいます       [歌います]        歌う:终止形,敬体非过去时，肯定
? おもいます       [思います]        思う:终止形,敬体非过去时，肯定
? いいます         [言います]        言う:终止形,敬体非过去时，肯定
? いきます         [行きます]        行く:终止形,敬体非过去时，肯定
? ききます         [聞きます]        聞く:终止形,敬体非过去时，肯定
? かきます         [書きます]        書く:终止形,敬体非过去时，肯定
? おきます         [置きます]        置く:终止形,敬体非过去时，肯定
? かきます         [描きます]        描く:终止形,敬体非过去时，肯定
? はなします       [話します]        話す:终止形,敬体非过去时，肯定
? ながします       [流します]        流す:终止形,敬体非过去时，肯定
? まちます         [待ちます]        待つ:终止形,敬体非过去时，肯定
? もちます         [持ちます]        持つ:终止形,敬体非过去时，肯定
? しにます         [死にます]        死ぬ:终止形,敬体非过去时，肯定
? よみます         [読みます]        読む:终止形,敬体非过去时，肯定
? やすみます       [休みます]        休む:终止形,敬体非过去时，肯定
? すみます         [住みます]        住む:终止形,敬体非过去时，肯定
? あみます         [編みます]        編む:终止形,敬体非过去时，肯定
? のみます         [飲みます]        飲む:终止形,敬体非过去时，肯定
? ぬぎます         [脱ぎます]        脱ぐ:终止形,敬体非过去时，肯定
? いそぎます       [急ぎます]        急ぐ:终止形,敬体非过去时，肯定
? あそびます       [遊びます]        遊ぶ:终止形,敬体非过去时，肯定
? えらびます       [選びます]        選ぶ:终止形,敬体非过去时，肯定
? よびます         [呼びます]        呼ぶ:终止形,敬体非过去时，肯定

? しり             [知り]            知る:第一连用形，表中顿、并列
? かえり           [帰り]            帰る:第一连用形，表中顿、并列
? はいり           [入り]            入る:第一连用形，表中顿、并列
? わかり           [分かり]          分かる:第一连用形，表中顿、并列
? もらい                             もらう:第一连用形，表中顿、并列
? いき             [行き]            行く:第一连用形，表中顿、并列
? きき             [聞き]            聞く:第一连用形，表中顿、并列
? はなし           [話し]            話す:第一连用形，表中顿、并列
? まち             [待ち]            待つ:第一连用形，表中顿、并列
? しに             [死に]            死ぬ:第一连用形，表中顿、并列
? よみ             [読み]            読む:第一连用形，表中顿、并列
