#DICT: <accent> <kana> <kanji[?]> <romaji<?>> <chinese>
? わたしはがくせいだ　　           [私は学生だ]               <watashiwagakuseida>           简体，私は学生です
? わたしはがくせいではない　       [私は学生ではない]         <watashiwagakuseidewanai>      简体，私は学生ではありません
? わたしはきしゃだった　　　       [私は記者だった]           <watashiwakisyadatta>          简体，私は記者でした
? わたしはきしゃではなかった       [私は記者ではなかった]     <watashiwakisyadewanakatta>    简体，私は記者ではありませんでした

? ふゆはさむい　　　　　　　       [冬は寒い]                 <fuyuwasamui>           简体，冬は寒いです
? きょうはさむくない    　   　    [今日は寒くない]           <kyouwasamukunai>       简体，今日は寒くないです
? きのうはさむくなかった   　　    [昨日は寒くなかった]       <kinouwasamukunakatta>  简体，昨日は寒くなかったです

? このへんはしずかだ　　　　　　　 [この辺は静かだ]           <konohenwashizukada>          简体，この辺は静かです
? このへんはしずかだった　　　　　 [この辺は静かだった]       <konohenwashizukadatta>       简体，この辺は静かでした
? このへんはしずかではない　　　　 [この辺は静かではない]     <konohenwashizukadewanai>     简体，この辺は静かではありません
? このへんはしずかではなかった     [この辺は静かではなかった] <konohenwashizukadewanakatta> 简体，この辺は静かではありませんでした
 
? にほんごをべんきょうする　　　　 [日本語を勉強する]                                简体，日本語を勉強します
? ペキンへいかない　　　　　　　　 [北京へ行かない]           <pekineikanai>         简体，北京へ行きません
? さしみをたべた　　　　　　　　　 [刺身を食べた]                                    简体，刺身を食べました
? きのうかれはこなかった           [昨日彼は来なかった]       <kinoukarewakonakatta> 简体，昨日彼は来ませんでした
